suite,test_id,remuneration,expected_grade,expected_standard
minmax,health_min_0,0,1,58000
minmax,health_max_big,10000000,50,1390000
boundary,health_B02_minus1,62999,1,58000
boundary,health_B02_at,63000,2,68000
boundary,health_B03_minus1,72999,2,68000
boundary,health_B03_at,73000,3,78000
boundary,health_B04_minus1,82999,3,78000
boundary,health_B04_at,83000,4,88000
boundary,health_B05_minus1,92999,4,88000
boundary,health_B05_at,93000,5,98000
boundary,health_B06_minus1,100999,5,98000
boundary,health_B06_at,101000,6,104000
boundary,health_B07_minus1,106999,6,104000
boundary,health_B07_at,107000,7,110000
boundary,health_B08_minus1,113999,7,110000
boundary,health_B08_at,114000,8,118000
boundary,health_B09_minus1,121999,8,118000
boundary,health_B09_at,122000,9,126000
boundary,health_B10_minus1,129999,9,126000
boundary,health_B10_at,130000,10,134000
boundary,health_B11_minus1,137999,10,134000
boundary,health_B11_at,138000,11,142000
boundary,health_B12_minus1,145999,11,142000
boundary,health_B12_at,146000,12,150000
boundary,health_B13_minus1,154999,12,150000
boundary,health_B13_at,155000,13,160000
boundary,health_B14_minus1,164999,13,160000
boundary,health_B14_at,165000,14,170000
boundary,health_B15_minus1,174999,14,170000
boundary,health_B15_at,175000,15,180000
boundary,health_B16_minus1,184999,15,180000
boundary,health_B16_at,185000,16,190000
boundary,health_B17_minus1,194999,16,190000
boundary,health_B17_at,195000,17,200000
boundary,health_B18_minus1,209999,17,200000
boundary,health_B18_at,210000,18,220000
boundary,health_B19_minus1,229999,18,220000
boundary,health_B19_at,230000,19,240000
boundary,health_B20_minus1,249999,19,240000
boundary,health_B20_at,250000,20,260000
boundary,health_B21_minus1,269999,20,260000
boundary,health_B21_at,270000,21,280000
boundary,health_B22_minus1,289999,21,280000
boundary,health_B22_at,290000,22,300000
boundary,health_B23_minus1,309999,22,300000
boundary,health_B23_at,310000,23,320000
boundary,health_B24_minus1,329999,23,320000
boundary,health_B24_at,330000,24,340000
boundary,health_B25_minus1,349999,24,340000
boundary,health_B25_at,350000,25,360000
boundary,health_B26_minus1,369999,25,360000
boundary,health_B26_at,370000,26,380000
boundary,health_B27_minus1,394999,26,380000
boundary,health_B27_at,395000,27,410000
boundary,health_B28_minus1,424999,27,410000
boundary,health_B28_at,425000,28,440000
boundary,health_B29_minus1,454999,28,440000
boundary,health_B29_at,455000,29,470000
boundary,health_B30_minus1,484999,29,470000
boundary,health_B30_at,485000,30,500000
boundary,health_B31_minus1,514999,30,500000
boundary,health_B31_at,515000,31,530000
boundary,health_B32_minus1,544999,31,530000
boundary,health_B32_at,545000,32,560000
boundary,health_B33_minus1,574999,32,560000
boundary,health_B33_at,575000,33,590000
boundary,health_B34_minus1,604999,33,590000
boundary,health_B34_at,605000,34,620000
boundary,health_B35_minus1,634999,34,620000
boundary,health_B35_at,635000,35,650000
boundary,health_B36_minus1,664999,35,650000
boundary,health_B36_at,665000,36,680000
boundary,health_B37_minus1,694999,36,680000
boundary,health_B37_at,695000,37,710000
boundary,health_B38_minus1,729999,37,710000
boundary,health_B38_at,730000,38,750000
boundary,health_B39_minus1,769999,38,750000
boundary,health_B39_at,770000,39,790000
boundary,health_B40_minus1,809999,39,790000
boundary,health_B40_at,810000,40,830000
boundary,health_B41_minus1,854999,40,830000
boundary,health_B41_at,855000,41,880000
boundary,health_B42_minus1,904999,41,880000
boundary,health_B42_at,905000,42,930000
boundary,health_B43_minus1,954999,42,930000
boundary,health_B43_at,955000,43,980000
boundary,health_B44_minus1,1004999,43,980000
boundary,health_B44_at,1005000,44,1030000
boundary,health_B45_minus1,1054999,44,1030000
boundary,health_B45_at,1055000,45,1090000
boundary,health_B46_minus1,1114999,45,1090000
boundary,health_B46_at,1115000,46,1150000
boundary,health_B47_minus1,1174999,46,1150000
boundary,health_B47_at,1175000,47,1210000
boundary,health_B48_minus1,1234999,47,1210000
boundary,health_B48_at,1235000,48,1270000
boundary,health_B49_minus1,1294999,48,1270000
boundary,health_B49_at,1295000,49,1330000
boundary,health_B50_minus1,1354999,49,1330000
boundary,health_B50_at,1355000,50,1390000
representative,health_G01_mid,31500,1,58000
representative,health_G02_mid,67999,2,68000
representative,health_G03_mid,77999,3,78000
representative,health_G04_mid,87999,4,88000
representative,health_G05_mid,96999,5,98000
representative,health_G06_mid,103999,6,104000
representative,health_G07_mid,110499,7,110000
representative,health_G08_mid,117999,8,118000
representative,health_G09_mid,125999,9,126000
representative,health_G10_mid,133999,10,134000
representative,health_G11_mid,141999,11,142000
representative,health_G12_mid,150499,12,150000
representative,health_G13_mid,159999,13,160000
representative,health_G14_mid,169999,14,170000
representative,health_G15_mid,179999,15,180000
representative,health_G16_mid,189999,16,190000
representative,health_G17_mid,202499,17,200000
representative,health_G18_mid,219999,18,220000
representative,health_G19_mid,239999,19,240000
representative,health_G20_mid,259999,20,260000
representative,health_G21_mid,279999,21,280000
representative,health_G22_mid,299999,22,300000
representative,health_G23_mid,319999,23,320000
representative,health_G24_mid,339999,24,340000
representative,health_G25_mid,359999,25,360000
representative,health_G26_mid,382499,26,380000
representative,health_G27_mid,409999,27,410000
representative,health_G28_mid,439999,28,440000
representative,health_G29_mid,469999,29,470000
representative,health_G30_mid,499999,30,500000
representative,health_G31_mid,529999,31,530000
representative,health_G32_mid,559999,32,560000
representative,health_G33_mid,589999,33,590000
representative,health_G34_mid,619999,34,620000
representative,health_G35_mid,649999,35,650000
representative,health_G36_mid,679999,36,680000
representative,health_G37_mid,712499,37,710000
representative,health_G38_mid,749999,38,750000
representative,health_G39_mid,789999,39,790000
representative,health_G40_mid,832499,40,830000
representative,health_G41_mid,879999,41,880000
representative,health_G42_mid,929999,42,930000
representative,health_G43_mid,979999,43,980000
representative,health_G44_mid,1029999,44,1030000
representative,health_G45_mid,1084999,45,1090000
representative,health_G46_mid,1144999,46,1150000
representative,health_G47_mid,1204999,47,1210000
representative,health_G48_mid,1264999,48,1270000
representative,health_G49_mid,1324999,49,1330000
representative,health_G50_mid,1355001,50,1390000
